hhld_num,pers_num,trip_num,trip_purp,start_time,mode_prime,purp_orig,purp_dest,trip_km,trip_man_km,car_pool,region_orig,waterzn_orig,region_dest,waterzn_dest,expf
322081,1,9,3,2300,D,O,H,5,7,1,12,121505,12,121993,18.29
322088,1,1,1,700,D,H,W,13,18,1,12,120296,12,121084,8.46
322088,1,2,1,1630,D,W,H,13,18,1,12,121084,12,120296,8.46
322088,2,1,1,830,D,H,W,8,10,1,12,120296,12,121155,8.46
298348,2,1,1,750,D,H,W,24,33,1,12,120328,14,0,11.76
322117,1,1,3,800,D,H,O,1,1,1,12,120023,12,121295,12.09
223501,1,1,1,610,D,H,W,7,9,1,12,121951,12,121063,14.5
640537,2,1,1,700,D,H,W,15,18,1,12,120003,13,0,46.55
506976,2,1,1,800,D,H,W,43,61,1,12,121536,24,0,18.29
322234,1,4,4,1210,D,M,O,1,1,1,12,120989,12,120026,14.31
322234,1,8,4,1650,D,W,R,6,8,1,12,122045,12,121802,14.31
322234,1,9,1,1815,D,W,H,8,11,1,12,121802,12,121615,14.31
376333,2,1,1,600,D,H,W,19,21,1,12,120419,13,0,10.96
322254,3,5,1,2030,P,W,H,8,11,0,12,120351,12,122063,17.75
514348,1,2,4,935,C,O,M,18,22,0,12,120414,24,0,9.9
567740,1,1,1,900,D,H,W,57,81,1,12,121238,4,0,16.55
344872,1,1,3,1330,D,H,O,217,246,1,12,122066,98,0,16.23
580265,1,5,4,1830,D,O,O,3,3,1,98,0,98,0,5.79
816126,2,1,1,830,D,H,W,19,25,1,12,120064,13,0,42.2
817103,2,1,1,645,D,H,W,50,65,1,12,122125,98,0,42.9
321527,2,2,1,1800,D,W,H,5,6,1,12,121210,12,121401,12.22
323125,1,1,1,500,D,H,W,26,36,1,12,120371,13,0,16.35
322619,1,1,3,1350,D,H,M,7,10,1,12,121799,12,122080,10.65
817129,2,1,3,545,D,H,O,6,8,1,12,120039,12,120005,47.94
322709,2,1,1,600,D,H,W,21,21,1,12,121785,12,120350,24.24
322709,1,1,1,900,D,H,W,54,69,1,12,121785,4,0,24.24
322709,2,2,1,1430,D,W,H,21,21,1,12,120350,12,121785,24.24
322709,3,1,1,800,D,H,W,5,5,1,12,121785,12,122130,24.24
322709,3,2,1,1700,D,W,H,5,5,1,12,122130,12,121785,24.24
665250,1,4,3,2220,D,D,H,1,1,2,12,121799,12,121140,25.61
322729,2,1,1,700,D,H,W,10,13,1,12,121444,12,122107,32.18
322727,1,1,1,730,D,H,W,36,45,1,12,120134,6,0,79.92
300387,1,1,3,840,P,H,O,6,7,0,12,120347,12,121208,50.41
322729,2,2,4,1530,D,W,F,10,14,1,12,122107,12,120017,32.18
322729,2,3,3,1630,D,F,H,2,3,2,12,120017,12,121444,32.18
322729,3,1,2,800,P,H,S,3,4,0,12,121444,12,120040,32.18
322729,3,2,2,1400,P,S,H,3,4,0,12,120040,12,121444,32.18
322729,4,1,2,1000,B,H,S,2,3,0,12,121444,12,120017,32.18
322729,4,2,2,1630,P,S,H,2,3,0,12,120017,12,121444,32.18
667293,3,2,2,1450,S,S,H,4,6,0,12,121179,12,120300,16.89
667293,4,1,1,800,D,H,W,21,30,1,12,120300,13,0,16.89
