hhld_num,dwell_type,income,n_person,n_vehicle,n_licence,n_emp_ft,n_emp_pt,n_emp_home,n_student,n_hhld_trip,region_hhld,pd_hhld,waterzn_hhld,expf,Pop
206010,1,6,2,4,2,2,0,0,0,4,12,66,121720,16.11,32.22
206027,1,5,5,2,2,2,0,0,1,16,12,64,121799,21.15,105.75
206047,1,6,5,2,4,1,2,0,3,12,12,63,120323,30.95,154.75
206102,2,2,2,1,2,0,0,0,0,0,12,65,121670,23.76,47.52
206159,1,7,2,2,2,0,0,0,0,0,12,64,120073,16.26,32.52
206166,1,2,4,1,2,2,0,1,0,2,12,67,121526,13.28,53.12
206183,1,3,2,2,2,0,0,0,0,2,12,65,121999,12.29,24.58
206341,3,2,3,2,3,1,1,2,0,9,12,69,120273,18.48,55.44
206390,1,5,3,2,2,2,0,1,1,6,12,65,121372,10.65,31.95
206411,2,2,1,1,1,1,0,0,0,2,12,63,121114,30.76,30.76
206424,1,7,2,2,2,1,0,1,0,6,12,64,121770,15.92,31.84
206480,1,4,8,3,4,1,0,0,4,22,12,63,121708,33.1,264.8
206585,1,3,1,1,1,0,0,0,0,5,12,64,121454,9.35,9.35
206606,1,3,2,2,2,1,1,0,0,8,12,63,121906,8.74,17.48
206619,1,7,3,3,3,3,0,1,0,7,12,64,120371,27.28,81.84
206635,1,2,1,1,1,0,0,0,0,6,12,65,120140,12.34,12.34
206651,2,2,1,1,1,0,0,0,0,7,12,63,121447,14.67,14.67
206736,3,7,1,1,1,1,0,0,0,2,12,64,122065,16.23,16.23
206743,1,7,1,0,1,0,0,0,0,0,12,65,121995,10.98,10.98
206751,1,7,2,2,2,0,0,0,0,7,12,65,121359,12.43,24.86
206819,1,7,2,2,2,1,0,0,0,3,12,69,121157,21.82,43.64
206851,1,4,2,1,2,0,0,0,0,11,12,63,121871,15.05,30.1
206871,1,6,3,2,3,1,1,0,1,6,12,63,122034,28.72,86.16
206915,3,4,1,1,1,1,0,0,0,0,12,64,121840,14.94,14.94
206950,1,6,3,2,3,3,0,0,1,10,12,64,122074,19.13,57.39
206972,1,4,1,1,0,0,0,0,0,0,12,64,122074,8.12,8.12
206987,1,6,2,2,2,1,0,0,1,4,12,64,121913,21.48,42.96
207016,1,3,5,4,5,2,0,0,2,8,12,65,122124,58.49,292.45
207059,1,4,2,1,1,2,0,0,0,5,12,63,122042,18.06,36.12
207108,3,4,1,1,1,1,0,0,0,2,12,64,120081,14.55,14.55
207109,1,6,4,3,4,3,1,1,1,8,12,63,122034,28.6,114.4
207129,1,2,2,2,2,1,1,1,0,6,12,64,121948,15.77,31.54
207151,1,3,1,1,1,0,0,0,0,2,12,63,120022,17.72,17.72
207155,1,6,4,2,2,2,0,0,1,8,12,65,120103,21.81,87.24
207192,1,3,1,1,1,1,0,0,0,4,12,64,121436,14.6,14.6
207205,1,6,2,2,2,2,0,0,0,9,12,64,120374,12.33,24.66
207232,1,3,2,1,1,0,0,0,0,0,12,65,121790,13.54,27.08
207319,1,4,5,1,3,0,0,0,0,13,12,64,121917,19.69,98.45
207325,1,7,4,3,2,1,1,0,0,9,12,65,121238,29.75,119
207401,1,5,2,2,2,0,0,0,0,4,12,64,121414,12.11,24.22
207426,1,2,1,1,1,0,0,0,0,2,12,64,122051,15.92,15.92
207447,1,2,2,1,1,0,0,0,0,2,12,64,121699,12.53,25.06
207459,1,7,2,1,2,2,0,0,0,7,12,63,122045,8.37,16.74
207537,1,2,3,2,2,0,2,0,1,7,12,64,121426,32.36,97.08
207680,1,4,2,1,1,0,0,0,0,4,12,64,121799,6.47,12.94
207742,1,4,2,2,2,0,0,0,0,0,12,65,121487,8.68,17.36
